Yr1996,Yr1997,Yr1998,Yr1999,Yr2000,Yr2001,Yr2002,Yr2003,Yr2004,Yr2005,Yr2006,Yr2007,Yr2008,Yr2009,Yr2010,Yr2011,Yr2012,,
"35,976","37,751","40,786","42,179","42,597","45,486","49,149","54,368","72,189","87,794","97,485","108,354","107,640","100,012","98,459","96,630","101,062",,
"52,372","53,349","55,775","61,361","63,809","68,308","79,068","100,459","126,733","138,564","144,723","158,136","154,237","149,595","155,682","145,808","150,604",,
"38,300","42,999","42,407","45,439","46,018","50,981","49,419","62,881","73,924","83,430","102,876","115,829","119,526","108,297","111,342","106,788","109,123",,
"53,489","55,624","60,439","60,062","59,320","71,434","77,012","93,519","115,957","132,909","141,421","150,018","137,725","142,262","139,665","132,755","138,626",,
"72,716","76,730","78,982","87,679","92,128","106,423","123,256","148,652","190,771","197,057","209,050","230,464","234,541","211,026","217,443","222,785","212,635",,
"43,785","49,915","55,310","54,263","56,188","60,710","65,748","84,375","107,055","124,104","123,481","132,985","136,753","130,759","129,317","127,880","125,208",,
"57,067","58,469","62,364","67,618","68,075","75,986","91,950","114,699","140,015","147,030","156,432","167,039","159,577","153,343","162,479","154,781","149,881",,
"65,257","72,387","75,070","82,230","87,835","94,386","110,985","129,921","156,976","160,793","172,655","191,903","189,241","185,032","194,899","191,193","180,985",,
"57,542","61,049","62,972","68,588","72,486","78,074","93,785","120,201","139,848","154,589","165,846","172,664","174,336","163,840","160,803","158,707","153,189",,
"51,870","53,175","55,428","60,373","64,283","71,337","80,408","95,342","118,620","130,894","141,186","147,775","144,846","144,850","145,992","142,611","141,555",,
"48,829","49,916","53,292","55,529","58,153","60,263","66,811","82,258","108,797","123,356","124,928","125,322","127,149","117,802","114,851","116,117","117,307",,
"46,437","46,475","47,705","52,440","56,485","63,060","68,510","82,597","103,924","115,577","127,807","134,991","131,030","133,328","130,707","128,205","127,424",,
"50,626","49,220","51,313","55,344","58,665","65,709","73,921","88,056","112,023","122,604","128,959","136,016","132,154","122,372","132,055","119,797","120,767",,
"59,363","62,067","65,351","70,907","75,402","84,005","97,734","117,575","140,417","157,153","164,762","171,933","167,776","168,362","168,539","159,745","158,999",,
"54,015","56,231","58,266","63,469","68,117","76,531","88,262","104,593","130,234","140,720","153,665","161,351","161,809","158,288","162,625","163,310","159,952",,
"60,388","62,304","64,527","66,989","70,854","77,160","95,367","117,860","145,330","154,721","164,529","174,462","175,395","160,707","169,362","163,298","162,203",,
"35,742","35,973","36,870","40,291","40,108","41,483","47,485","57,227","66,348","78,982","90,953","100,898","100,634","92,840","98,310","97,786","98,330",,
"42,684","45,989","45,753","49,342","49,381","53,319","59,256","73,819","92,961","99,492","111,893","119,775","118,702","122,435","124,253","120,309","118,735",,
"47,489","49,611","51,255","53,786","56,668","62,511","70,472","91,485","114,584","125,149","131,442","137,541","137,828","130,109","134,917","125,993","127,583",,
"67,745","71,083","72,882","76,876","87,483","102,625","130,563","149,597","171,740","182,401","192,921","210,942","199,196","191,144","202,823","201,286","208,983",,
"72,816","76,914","79,439","86,226","94,230","103,982","127,214","154,814","186,409","197,954","211,336","223,853","220,790","209,903","223,065","218,113","215,638",,
"68,792","74,919","79,880","81,698","87,838","100,161","125,207","149,695","176,406","190,066","211,812","216,546","208,794","196,994","218,926","202,729","211,508",,
"78,697","85,146","90,724","94,948","104,662","118,422","139,446","172,594","208,265","218,077","230,208","238,830","243,790","221,396","233,893","240,056","236,480",,
"84,375","87,438","94,889","109,286","117,856","131,047","159,943","193,298","221,138","233,259","249,122","273,167","272,559","255,483","274,166","268,480","263,674",,
"70,695","77,370","76,421","89,121","92,866","94,070","115,248","138,234","177,822","190,690","203,922","228,666","216,858","220,787","244,615","214,402","211,427",,
"71,813","77,796","75,980","87,114","95,539","107,169","133,515","162,693","196,056","208,188","228,042","238,917","239,165","208,816","230,834","222,769","220,638",,
"57,473","59,382","60,786","63,002","68,196","75,183","90,358","112,483","143,994","155,186","160,091","168,124","172,112","159,203","165,414","163,333","157,575",,
"66,364","69,578","69,989","73,324","80,342","88,243","115,281","143,678","164,836","177,781","187,480","199,404","185,650","182,276","178,917","182,443","185,150",,
"48,342","50,764","53,468","56,484","59,515","64,876","74,742","92,510","114,827","125,137","134,752","141,849","137,697","135,298","140,014","133,249","138,213",,
"44,312","46,549","49,610","51,124","53,382","58,390","63,150","79,028","103,180","113,339","120,870","129,827","127,995","119,398","122,005","117,434","119,505",,
"44,646","48,873","50,554","51,954","53,956","55,317","65,595","84,849","108,755","117,876","126,159","131,955","131,702","123,904","130,029","123,132","125,335",,
"47,324","48,458","49,953","55,517","57,293","62,020","71,073","86,859","106,216","118,520","128,910","137,348","133,621","128,537","133,244","127,677","132,907",,
"52,479","54,555","58,372","61,901","66,567","75,382","87,915","107,010","128,919","138,049","149,317","155,835","147,424","151,795","156,598","148,839","155,450",,
"54,283","57,028","59,611","63,557","67,775","72,497","83,901","103,913","124,144","136,505","148,432","156,476","153,182","148,401","156,473","149,593","151,066",,
"52,240","54,133","55,365","59,503","61,745","66,393","74,421","88,375","108,799","122,927","136,814","147,265","144,490","141,262","146,379","142,007","141,076",,
"48,519","52,637","54,991","55,615","59,480","65,397","72,222","93,455","114,840","129,023","138,729","148,777","146,191","141,293","148,476","139,624","139,383",,
"53,609","55,413","58,575","60,812","65,526","68,296","78,337","99,446","120,344","133,779","146,917","153,514","152,882","146,739","151,523","143,584","146,365",,
"58,091","61,354","65,049","70,909","77,330","83,803","99,795","122,809","142,433","153,199","163,772","171,077","166,434","159,153","172,133","166,155","169,243",,
"53,119","55,793","56,874","59,358","62,326","66,180","77,231","98,856","118,638","131,277","138,762","145,967","141,838","137,600","142,190","132,560","133,484",,
"47,812","49,496","52,781","56,571","61,626","71,178","83,240","104,974","129,685","136,670","145,659","150,977","143,586","139,933","142,043","136,104","141,781",,
"45,175","46,793","50,196","53,904","57,964","65,442","84,028","105,854","127,146","132,360","136,638","145,422","144,603","136,649","138,750","139,242","137,634",,
"47,086","49,435","52,858","56,155","59,280","67,890","84,717","105,515","119,414","124,817","127,126","129,407","125,021","124,722","121,771","118,311","119,221",,
"84,168","92,374","101,595","106,553","133,688","148,431","165,916","200,953","220,267","239,115","243,289","268,411","285,814","239,224","273,911","252,091","266,895",,
"56,706","60,335","62,987","68,191","71,955","78,996","93,366","117,212","139,402","149,796","158,366","168,169","162,585","158,537","163,901","156,843","161,524",,
"52,576","54,792","57,807","63,976","65,000","74,174","89,278","113,247","134,751","140,938","152,456","166,426","156,250","152,275","162,334","153,568","158,831",,
"42,651","45,983","48,341","51,267","52,051","56,519","59,682","79,483","98,018","112,870","118,495","131,220","128,776","121,692","115,424","107,504","109,066",,
"50,798","51,093","52,311","56,411","61,704","67,810","76,185","96,348","116,825","129,196","140,548","147,108","142,154","130,094","142,498","130,815","135,383",,
"83,072","89,278","94,453","100,566","116,784","126,068","145,588","173,898","215,275","235,876","239,402","257,600","244,054","238,392","254,166","237,683","244,192",,
"48,954","53,285","54,778","58,054","60,312","69,424","83,702","108,916","126,232","133,558","135,728","145,730","137,698","134,300","136,487","136,341","139,613",,
"62,202","66,678","70,973","75,722","79,803","91,702","110,528","132,143","157,513","165,468","174,404","184,385","188,282","178,901","175,082","176,001","171,498",,
"59,476","60,258","65,166","69,889","71,531","77,257","90,010","115,723","136,384","151,800","160,915","168,580","165,091","165,645","165,161","167,637","162,960",,
"59,706","64,655","67,428","76,074","81,615","86,497","104,405","133,261","148,647","160,359","170,002","174,790","168,213","166,809","169,820","163,633","175,197",,
"65,595","68,826","74,114","81,245","88,143","98,561","119,677","147,043","165,878","177,319","184,686","194,454","184,355","174,354","189,719","185,737","183,975",,
"62,285","65,887","70,859","76,621","83,039","91,765","110,323","140,600","158,573","168,486","176,449","184,971","173,069","162,797","173,972","178,023","175,246",,
"63,057","67,479","72,153","75,833","81,582","92,103","114,196","140,478","163,578","172,936","187,878","190,675","183,238","169,097","184,234","185,524","181,828",,
"75,535","81,488","92,488","102,069","116,062","124,265","154,340","189,978","204,766","218,386","220,805","239,714","230,015","214,332","238,957","230,086","229,464",,
"60,016","63,881","65,891","75,576","80,888","96,874","112,214","137,685","156,294","166,833","171,108","185,492","172,421","171,113","178,503","172,533","169,586",,
"88,452","75,038","82,661","87,324","97,197","104,127","133,065","156,298","172,070","187,672","195,743","207,573","191,499","180,058","197,847","188,182","201,412",,
"59,175","64,617","69,558","76,737","80,501","92,932","111,576","135,581","156,066","164,979","173,661","178,348","171,835","161,670","175,361","168,213","164,314",,
"62,851","68,064","71,451","74,358","80,333","88,441","109,312","138,521","156,359","166,856","165,167","178,218","162,427","153,857","173,759","177,361","164,492",,
"52,036","55,564","58,902","62,471","70,267","78,078","96,422","120,303","140,628","149,489","154,631","164,094","159,640","149,920","157,639","152,779","153,633",,
"45,444","46,969","49,233","51,503","57,359","66,425","81,568","105,516","123,222","128,086","133,532","142,130","137,616","127,384","128,277","129,529","134,788",,
"49,694","53,213","56,861","59,121","66,512","73,856","91,553","115,034","137,800","147,455","153,045","163,672","154,205","145,794","153,748","145,778","146,968",,
"44,580","45,842","48,744","49,252","53,382","59,205","76,751","99,094","119,022","126,289","131,367","138,285","134,000","132,141","128,558","129,837","130,678",,
"55,969","59,406","61,402","65,720","74,748","82,297","103,662","130,232","148,041","156,887","164,797","175,194","173,093","159,603","165,110","161,275","164,719",,
"48,740","53,897","56,927","62,721","75,534","84,586","100,287","123,610","138,578","151,735","155,616","164,618","153,319","141,035","152,126","143,153","150,143",,
"59,848","64,799","68,838","75,711","84,533","95,811","117,900","140,267","162,700","172,149","174,948","188,652","185,376","169,133","182,570","177,620","177,242",,
"52,797","56,598","60,014","60,978","68,318","73,596","90,950","115,746","141,548","142,435","151,399","162,036","162,262","154,078","166,322","159,832","149,421",,
"60,483","66,971","73,589","79,969","90,324","101,944","118,565","141,280","155,344","162,464","169,818","181,828","178,573","171,509","179,876","178,560","179,129",,
"44,246","47,366","54,950","54,506","58,789","60,594","75,284","95,189","111,950","123,519","130,307","146,271","145,121","127,671","131,017","132,446","135,287",,
"76,695","81,862","98,040","104,356","116,355","132,876","150,211","176,496","188,547","195,217","211,827","233,841","239,036","215,858","233,952","222,263","226,298",,
"58,088","66,326","73,915","82,386","90,054","98,927","118,622","148,344","161,873","170,689","176,004","186,179","184,404","176,341","189,353","187,603","184,497",,
"51,064","55,502","59,108","66,148","74,197","82,740","102,265","127,531","142,760","149,888","155,366","162,845","158,262","151,363","154,167","151,889","157,989",,
"55,259","62,601","66,816","71,323","84,195","95,579","110,620","129,227","145,305","149,162","157,503","165,604","158,412","149,169","155,100","156,663","160,501",,
"83,716","93,829","104,572","114,534","134,936","151,768","173,534","197,333","209,173","216,622","231,812","255,635","252,948","232,767","255,533","249,176","248,276",,
"50,855","55,168","59,459","67,941","74,655","86,627","101,545","121,996","136,251","150,042","149,887","161,272","156,950","157,222","157,925","157,118","160,304",,
"57,574","60,433","63,672","70,014","75,585","82,009","98,963","121,153","140,918","149,254","154,966","161,174","154,052","155,319","159,501","156,615","155,754",,
"41,791","45,298","48,044","52,761","56,525","59,847","70,246","89,188","109,624","115,337","120,359","125,970","119,413","114,245","120,816","121,383","120,796",,
"52,693","56,451","55,574","62,376","67,218","70,898","88,576","109,559","128,085","140,323","146,689","151,007","149,825","141,008","144,249","141,368","138,565",,
"55,427","57,410","60,698","68,391","72,750","81,386","101,631","126,813","145,491","151,619","155,470","162,196","154,210","150,718","155,089","149,057","150,485",,
"56,879","60,785","62,928","66,260","73,903","82,562","103,529","129,145","140,712","154,264","157,588","159,148","151,094","149,345","159,406","157,636","151,716",,
"44,129","44,653","46,404","51,072","51,424","56,380","68,170","84,601","106,577","114,068","118,845","124,681","120,428","118,442","119,683","115,804","113,376",,
"63,800","62,611","70,479","74,937","81,986","90,112","112,921","133,152","154,688","164,157","168,521","176,994","173,461","168,060","172,652","166,637","167,457",,
"80,573","83,850","91,689","99,342","116,415","128,349","151,955","183,618","206,363","212,436","216,804","228,159","213,270","212,742","228,918","224,275","224,451",,
"69,015","74,227","84,378","92,332","103,913","115,652","137,059","162,483","190,698","198,076","211,005","222,073","223,920","206,897","223,664","216,370","213,165",,
"67,865","73,069","78,535","83,535","93,624","105,987","127,356","152,718","177,534","188,424","201,367","213,622","211,639","198,086","208,309","204,035","199,890",,
"36,164","37,834","39,335","40,982","42,813","46,685","52,329","62,355","81,088","92,851","98,950","103,518","103,610","98,518","99,431","97,707","98,234",,
"55,384","59,338","62,510","67,326","72,257","79,035","93,618","114,120","135,213","138,014","147,545","155,575","157,359","155,085","157,229","152,769","153,224",,
"61,664","66,486","70,973","75,985","81,670","90,339","107,713","128,788","150,033","160,622","170,059","177,111","175,381","166,951","175,367","168,881","170,099",,
"53,224","54,522","59,894","63,946","64,975","73,796","90,002","108,543","122,430","134,994","145,264","151,298","143,865","137,243","137,162","137,638","141,224",,
"53,898","59,582","65,031","68,631","74,172","82,164","100,533","118,422","139,749","143,240","156,811","166,207","157,313","158,867","168,144","156,383","161,286",,
"78,944","85,884","94,498","105,599","115,370","122,432","146,038","172,567","196,486","207,281","215,913","226,993","226,802","207,492","233,374","213,959","214,581",,
"50,266","58,476","59,097","62,550","64,838","67,927","79,620","101,070","122,071","130,331","139,587","144,864","151,079","143,657","145,064","144,808","143,576",,
"74,792","81,335","85,308","90,285","101,549","111,358","140,114","163,930","180,344","192,143","205,410","220,304","208,761","200,931","212,488","199,264","205,229",,
"66,147","69,520","76,463","78,654","85,140","96,698","114,521","137,676","163,335","178,620","180,905","187,495","191,400","174,858","182,733","184,761","179,426",,
"55,001","57,849","61,820","67,975","70,721","80,681","94,046","114,077","143,785","151,319","160,458","168,185","169,814","156,457","158,803","156,146","158,472",,
"58,493","61,698","66,087","72,051","77,300","86,712","100,895","117,110","137,554","145,531","155,825","156,383","153,730","148,772","149,026","146,885","148,790",,
"74,197","82,197","88,381","99,060","109,065","121,730","142,661","162,762","186,648","192,715","202,405","210,220","208,030","201,817","220,579","212,314","219,105",,
"62,553","70,076","73,743","76,155","84,137","91,554","110,666","127,889","155,731","165,982","171,450","181,148","180,545","177,145","171,062","163,270","168,100",,
"51,214","54,805","55,588","61,687","67,776","74,154","86,883","107,253","123,103","132,547","137,791","147,164","138,347","132,645","140,943","137,828","140,144",,
"61,436","68,868","74,313","79,697","93,657","106,868","128,256","140,484","169,716","170,985","182,179","185,784","186,732","171,052","186,461","182,282","186,050",,
"97,433","107,643","119,921","134,741","149,103","171,379","193,760","222,063","242,692","254,550","261,828","275,812","276,704","263,999","289,351","276,225","292,472",,
"83,042","92,475","102,493","117,616","129,398","139,909","169,938","192,342","211,948","218,873","230,493","237,305","233,705","220,632","252,709","239,597","246,664",,
"56,681","60,246","63,929","68,414","74,743","85,123","100,207","120,590","137,922","144,545","153,660","159,734","154,400","149,635","157,766","151,806","153,589",,
"55,422","58,495","62,518","67,425","74,403","86,516","101,845","125,702","140,499","148,377","155,424","162,383","158,863","147,755","160,120","153,799","155,161",,
"49,093","51,189","54,174","59,361","65,107","73,960","90,325","106,730","123,308","131,390","142,499","147,215","141,469","135,171","140,242","136,413","139,248",,
"57,283","60,871","65,471","67,599","71,593","79,422","93,566","113,352","130,730","136,883","145,347","151,989","146,500","145,364","151,181","145,121","145,300",,
"45,526","46,967","49,418","53,311","56,110","61,787","74,313","95,856","111,891","116,848","125,285","132,461","126,995","120,010","122,665","118,401","118,526",,
"87,319","95,946","106,186","113,260","130,596","147,513","168,822","193,710","216,761","219,945","232,146","244,897","228,051","227,138","251,164","238,079","240,587",,
